method,bits_per_key,invalid_forward_rate,probe_cost
Global Bloom,8.0,0.02141584712068372,6.0
Hash partition,8.0,0.02141584712068372,6.0
Risk partition,8.0,0.011504340234799232,7.170228095941763
TRAPS learned,8.0,0.01091055930664215,7.31461580168394
Keyed tag,8.0,0.00390625,1.0
Adaptive tag,8.0,0.001990085755254038,1.0
Global Bloom,10.0,0.008192549468178961,7.0
Hash partition,10.0,0.008192549468178961,7.0
Risk partition,10.0,0.004400940851941666,8.426265604617004
TRAPS learned,10.0,0.004173792254934272,8.678821548431037
Keyed tag,10.0,0.0009765625,1.0
Adaptive tag,10.0,0.0004975214388135097,1.0
Global Bloom,12.0,0.003134028105931708,8.0
Hash partition,12.0,0.003134028105931708,8.0
Risk partition,12.0,0.0016835628977403103,10.170228095941763
TRAPS learned,12.0,0.0015966680806862041,10.08474681817599
Keyed tag,12.0,0.000244140625,1.0
Adaptive tag,12.0,0.0001243803597033775,1.0
Global Bloom,14.0,0.0011989103278436648,10.0
Hash partition,14.0,0.0011989103278436648,10.0
Risk partition,14.0,0.0006440404736176445,11.170228095941763
TRAPS learned,14.0,0.0006107991975087685,11.331598353234725
Keyed tag,14.0,6.103515625e-05,1.0
Adaptive tag,14.0,3.109508992584436e-05,1.0
Global Bloom,16.0,0.0004586385078964973,11.0
Hash partition,16.0,0.0004586385078964973,11.0
Risk partition,16.0,0.00024637519169279116,12.426265604617004
TRAPS learned,16.0,0.0002336588701122014,12.92393917603798
Keyed tag,16.0,1.52587890625e-05,1.0
Adaptive tag,16.0,7.773772481461091e-06,1.0
Global Bloom,20.0,6.711786678855937e-05,14.0
Hash partition,20.0,6.711786678855937e-05,14.0
Risk partition,20.0,3.605492563606175e-05,15.426265604617004
TRAPS learned,20.0,3.4193999518451204e-05,15.56900040163864
Keyed tag,20.0,9.5367431640625e-07,1.0
Adaptive tag,20.0,4.858607800913184e-07,1.0
Global Bloom,24.0,9.82213216876989e-06,17.0
Hash partition,24.0,9.82213216876989e-06,17.0
Risk partition,24.0,5.27633343962196e-06,18.170228095941763
TRAPS learned,24.0,5.0040026407146e-06,18.331598353234725
Keyed tag,24.0,5.960464477539063e-08,1.0
Adaptive tag,24.0,3.0366298755707395e-08,1.0
Global Bloom,28.0,1.437385974210204e-06,19.0
Hash partition,28.0,1.437385974210204e-06,19.0
Risk partition,28.0,7.721467753695194e-07,21.170228095941763
TRAPS learned,28.0,7.322934661318847e-07,21.101242331826455
Keyed tag,28.0,3.725290298461914e-09,1.0
Adaptive tag,28.0,1.897893672231714e-09,1.0
Global Bloom,32.0,2.103492809255254e-07,22.0
Hash partition,32.0,2.103492809255254e-07,22.0
Risk partition,32.0,1.1299715030069532e-07,23.426265604617004
TRAPS learned,32.0,1.0716495554504147e-07,23.9454758039759
Keyed tag,32.0,2.3283064365386963e-10,1.0
Adaptive tag,32.0,2.6764521285076927e-10,1.0
