seed,method,method_kind,bits_per_key,N_keys,N_valid,N_events,N_invalid,N_invalid_unique,N_invalid_repeated,valid_forwarded,valid_rejected,valid_throttled,invalid_forwarded,invalid_forwarded_unique,invalid_forwarded_repeated,invalid_rejected_by_index,invalid_rejected_by_cache,invalid_throttled,raw_invalid_forward_rate,first_seen_invalid_forward_rate,replay_suppression_rate,backend_work_reduction,valid_rejection_rate,backend_invocations,probe_cost
0,No admission,backend-only,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,146214,73312,72902,853786,0,0,0.146214,0.146624,0.0,0.8131295238095237,0.0,196214,3.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,73312,73312,0,426688,500000,0,0.073312,0.146624,1.0,0.88256,0.0,123312,3.0
0,Hash partition,one-sided AMQ,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,145998,73037,72961,854002,0,0,0.145998,0.146074,0.0,0.8133352380952381,0.0,195998,3.0
0,Risk partition,one-sided AMQ,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,100681,50587,50094,899319,0,0,0.100681,0.101174,0.0,0.8564942857142857,0.0,150681,3.8484808768187397
0,TRAPS learned,one-sided AMQ,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,96368,48086,48282,903632,0,0,0.096368,0.096172,0.0,0.8606019047619048,0.0,146368,3.9443755729070293
0,TRAPS+ReplayCache,one-sided AMQ+cache,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,48086,48086,0,451914,500000,0,0.048086,0.096172,1.0,0.9065847619047619,0.0,98086,3.9443755729070293
0,Oracle AMQ,oracle,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,95727,47704,48023,904273,0,0,0.095727,0.095408,0.0,0.861212380952381,0.0,145727,3.9663478836334445
0,Peppered tag,one-sided tag,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,62370,31323,31047,937630,0,0,0.06237,0.062646,0.0,0.8929809523809524,0.0,112370,1.0
0,Peppered tag-64,production upper bound,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Adaptive tag,one-sided tag,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,40101,20075,20026,959899,0,0,0.040101,0.04015,0.0,0.9141895238095238,0.0,90101,1.0
0,Tag+NegCache,one-sided tag+cache,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,31323,31323,0,468677,500000,0,0.031323,0.062646,1.0,0.9225495238095238,0.0,81323,1.0
0,NegCache only,exact cache,4.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,500000,500000,0,0,500000,0,0.5,1.0,1.0,0.47619047619047616,0.0,550000,0.0
0,RateLimit+Tag,operational,4.0,200000,50000,1050000,1000000,500000,500000,49993,0,7,22084,11045,11039,977916,0,0,0.022084,0.02209,0.0,0.9313552380952381,0.00014,72077,1.0
0,RateLimit+Tag+NegCache,operational,4.0,200000,50000,1050000,1000000,500000,500000,49998,0,2,11045,11045,0,488955,500000,0,0.011045,0.02209,1.0,0.9418638095238095,4e-05,61043,1.0
0,No admission,backend-only,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,56079,28017,28062,943921,0,0,0.056079,0.056034,0.0,0.898972380952381,0.0,106079,4.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,28017,28017,0,471983,500000,0,0.028017,0.056034,1.0,0.9256980952380952,0.0,78017,4.0
0,Hash partition,one-sided AMQ,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,55881,28079,27802,944119,0,0,0.055881,0.056158,0.0,0.8991609523809524,0.0,105881,4.0
0,Risk partition,one-sided AMQ,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,38925,19535,19390,961075,0,0,0.038925,0.03907,0.0,0.9153095238095238,0.0,88925,5.029636057414148
0,TRAPS learned,one-sided AMQ,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,36075,18274,17801,963925,0,0,0.036075,0.036548,0.0,0.9180238095238096,0.0,86075,5.447535868728734
0,TRAPS+ReplayCache,one-sided AMQ+cache,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,18274,18274,0,481726,500000,0,0.018274,0.036548,1.0,0.9349771428571428,0.0,68274,5.447535868728734
0,Oracle AMQ,oracle,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,35631,17853,17778,964369,0,0,0.035631,0.035706,0.0,0.9184466666666666,0.0,85631,5.495872940921683
0,Peppered tag,one-sided tag,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,15552,7850,7702,984448,0,0,0.015552,0.0157,0.0,0.9375695238095239,0.0,65552,1.0
0,Peppered tag-64,production upper bound,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Adaptive tag,one-sided tag,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,10523,5311,5212,989477,0,0,0.010523,0.010622,0.0,0.9423590476190477,0.0,60523,1.0
0,Tag+NegCache,one-sided tag+cache,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,7850,7850,0,492150,500000,0,0.00785,0.0157,1.0,0.9449047619047619,0.0,57850,1.0
0,NegCache only,exact cache,6.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,500000,500000,0,0,500000,0,0.5,1.0,1.0,0.47619047619047616,0.0,550000,0.0
0,RateLimit+Tag,operational,6.0,200000,50000,1050000,1000000,500000,500000,49997,0,3,5433,2765,2668,994567,0,0,0.005433,0.00553,0.0,0.9472095238095238,6e-05,55430,1.0
