method,bits_per_key,index_or_tag_bits_per_key,cache_bits_per_key,counter_bits_per_key,total_bits_per_key
Adaptive tag,4.0,4.0,0.0,0.0,4.0
Global Bloom,4.0,4.0,0.0,0.0,4.0
GlobalBloom+NegCache,4.0,4.0,4.0,0.0,8.0
Hash partition,4.0,4.0,0.0,0.0,4.0
NegCache only,4.0,0.0,4.0,0.0,4.0
No admission,4.0,0.0,0.0,0.0,0.0
Oracle AMQ,4.0,4.0,0.0,0.0,4.0
Peppered tag,4.0,4.0,0.0,0.0,4.0
Peppered tag-64,4.0,4.0,0.0,0.0,4.0
RateLimit+Tag,4.0,4.0,0.0,64.0,68.0
RateLimit+Tag+NegCache,4.0,4.0,4.0,64.0,72.0
Risk partition,4.0,4.0,0.0,0.0,4.0
TRAPS learned,4.0,4.0,0.0,0.0,4.0
TRAPS+ReplayCache,4.0,4.0,4.0,0.0,8.0
Tag+NegCache,4.0,4.0,4.0,0.0,8.0
Adaptive tag,6.0,6.0,0.0,0.0,6.0
Global Bloom,6.0,6.0,0.0,0.0,6.0
GlobalBloom+NegCache,6.0,6.0,4.0,0.0,10.0
Hash partition,6.0,6.0,0.0,0.0,6.0
NegCache only,6.0,0.0,4.0,0.0,4.0
No admission,6.0,0.0,0.0,0.0,0.0
Oracle AMQ,6.0,6.0,0.0,0.0,6.0
Peppered tag,6.0,6.0,0.0,0.0,6.0
Peppered tag-64,6.0,6.0,0.0,0.0,6.0
RateLimit+Tag,6.0,6.0,0.0,64.0,70.0
RateLimit+Tag+NegCache,6.0,6.0,4.0,64.0,74.0
Risk partition,6.0,6.0,0.0,0.0,6.0
TRAPS learned,6.0,6.0,0.0,0.0,6.0
TRAPS+ReplayCache,6.0,6.0,4.0,0.0,10.0
Tag+NegCache,6.0,6.0,4.0,0.0,10.0
Adaptive tag,8.0,8.0,0.0,0.0,8.0
Global Bloom,8.0,8.0,0.0,0.0,8.0
GlobalBloom+NegCache,8.0,8.0,4.0,0.0,12.0
Hash partition,8.0,8.0,0.0,0.0,8.0
NegCache only,8.0,0.0,4.0,0.0,4.0
No admission,8.0,0.0,0.0,0.0,0.0
Oracle AMQ,8.0,8.0,0.0,0.0,8.0
Peppered tag,8.0,8.0,0.0,0.0,8.0
Peppered tag-64,8.0,8.0,0.0,0.0,8.0
RateLimit+Tag,8.0,8.0,0.0,64.0,72.0
RateLimit+Tag+NegCache,8.0,8.0,4.0,64.0,76.0
Risk partition,8.0,8.0,0.0,0.0,8.0
TRAPS learned,8.0,8.0,0.0,0.0,8.0
TRAPS+ReplayCache,8.0,8.0,4.0,0.0,12.0
Tag+NegCache,8.0,8.0,4.0,0.0,12.0
Adaptive tag,10.0,10.0,0.0,0.0,10.0
Global Bloom,10.0,10.0,0.0,0.0,10.0
GlobalBloom+NegCache,10.0,10.0,4.0,0.0,14.0
