method,method_kind,bits_per_key,n_seeds,total_invalid,total_events,total_valid,total_unique_invalid,total_repeated_invalid,total_invalid_forwarded,mean_raw_invalid_forward_rate,median_raw_invalid_forward_rate,ci95_raw_lo,ci95_raw_hi,mean_first_seen_invalid_forward_rate,median_first_seen_invalid_forward_rate,ci95_first_seen_lo,ci95_first_seen_hi,zero_event_upper_95,mean_valid_rejection_rate,mean_backend_invocations,mean_backend_work_reduction
Adaptive tag,one-sided tag,4.0,30,30000000,31500000,1500000,15000000,15000000,1247874,0.041595799999999995,0.041764499999999996,0.038224875,0.045661375,0.04153413333333334,0.041403999999999996,0.03847375,0.045610899999999996,,0.0,91595.8,0.9127659047619049
Global Bloom,one-sided AMQ,4.0,30,30000000,31500000,1500000,15000000,15000000,4392644,0.14642146666666667,0.1464205,0.145712975,0.147216325,0.14637926666666667,0.146503,0.14541145,0.14727674999999998,,0.0,196421.46666666667,0.8129319365079365
GlobalBloom+NegCache,one-sided AMQ+cache,4.0,30,30000000,31500000,1500000,15000000,15000000,2195689,0.07318963333333334,0.0732515,0.072705725,0.07363837499999999,0.14637926666666667,0.146503,0.14541145,0.14727674999999998,,0.0,123189.63333333333,0.8826765396825397
Hash partition,one-sided AMQ,4.0,30,30000000,31500000,1500000,15000000,15000000,4387176,0.14623919999999999,0.146223,0.145763225,0.14678645,0.14623686666666666,0.146216,0.1454207,0.14707275,,0.0,196239.2,0.8131055238095236
NegCache only,exact cache,4.0,30,30000000,31500000,1500000,15000000,15000000,15000000,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,,0.0,550000.0,0.47619047619047616
No admission,backend-only,4.0,30,30000000,31500000,1500000,15000000,15000000,30000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1050000.0,0.0
Oracle AMQ,oracle,4.0,30,30000000,31500000,1500000,15000000,15000000,2885433,0.0961811,0.096619,0.08937442500000001,0.10464564999999999,0.09619753333333335,0.096554,0.08951719999999999,0.10432665,,0.0,146181.1,0.8607799047619049
Peppered tag,one-sided tag,4.0,30,30000000,31500000,1500000,15000000,15000000,1873929,0.0624643,0.062449000000000005,0.0621765,0.062695025,0.06250633333333332,0.062490000000000004,0.0620064,0.063103,,0.0,112464.3,0.8928911428571428
Peppered tag-64,production upper bound,4.0,30,30000000,31500000,1500000,15000000,15000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.985773741227888e-08,0.0,50000.0,0.9523809523809523
RateLimit+Tag,operational,4.0,30,30000000,31500000,1500000,15000000,15000000,656853,0.0218951,0.021889,0.021652925,0.02213305,0.021916466666666665,0.021901,0.0215885,0.022304849999999998,,0.000108,71889.7,0.931533619047619
RateLimit+Tag+NegCache,operational,4.0,30,30000000,31500000,1500000,15000000,15000000,328747,0.010958233333333333,0.0109505,0.01079425,0.011152424999999999,0.021916466666666665,0.021901,0.0215885,0.022304849999999998,,9.4e-05,60953.53333333333,0.9419490158730159
Risk partition,one-sided AMQ,4.0,30,30000000,31500000,1500000,15000000,15000000,3000434,0.10001446666666665,0.1009815,0.09193035,0.1068156,0.10002666666666668,0.101149,0.0920277,0.10666105000000001,,0.0,150014.46666666667,0.8571290793650793
TRAPS learned,one-sided AMQ,4.0,30,30000000,31500000,1500000,15000000,15000000,2898365,0.09661216666666665,0.09700249999999999,0.090065625,0.105012475,0.09662566666666665,0.096848,0.08981095,0.10508675,,0.0,146612.16666666666,0.860369365079365
TRAPS+ReplayCache,one-sided AMQ+cache,4.0,30,30000000,31500000,1500000,15000000,15000000,1449385,0.048312833333333326,0.048424,0.044905475,0.052543375,0.09662566666666665,0.096848,0.08981095,0.10508675,,0.0,98312.83333333333,0.9063687301587304
Tag+NegCache,one-sided tag+cache,4.0,30,30000000,31500000,1500000,15000000,15000000,937595,0.03125316666666666,0.031245000000000002,0.0310032,0.0315515,0.06250633333333332,0.062490000000000004,0.0620064,0.063103,,0.0,81253.16666666667,0.9226160317460318
Adaptive tag,one-sided tag,6.0,30,30000000,31500000,1500000,15000000,15000000,318071,0.010602366666666668,0.010572,0.009702825,0.011805000000000001,0.010652333333333331,0.010712,0.0097359,0.01184295,,0.0,60602.36666666667,0.9422834603174604
Global Bloom,one-sided AMQ,6.0,30,30000000,31500000,1500000,15000000,15000000,1678763,0.055958766666666666,0.055938,0.05565035,0.0563927,0.0559108,0.055903,0.05530995,0.056436400000000005,,0.0,105958.76666666666,0.8990868888888888
GlobalBloom+NegCache,one-sided AMQ+cache,6.0,30,30000000,31500000,1500000,15000000,15000000,838662,0.0279554,0.0279515,0.027654975,0.028218200000000002,0.0559108,0.055903,0.05530995,0.056436400000000005,,0.0,77955.4,0.9257567619047619
Hash partition,one-sided AMQ,6.0,30,30000000,31500000,1500000,15000000,15000000,1679033,0.05596776666666667,0.0559755,0.0555301,0.056295424999999996,0.056033533333333344,0.056073,0.0554249,0.056548549999999996,,0.0,105967.76666666666,0.8990783174603175
NegCache only,exact cache,6.0,30,30000000,31500000,1500000,15000000,15000000,15000000,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,,0.0,550000.0,0.47619047619047616
No admission,backend-only,6.0,30,30000000,31500000,1500000,15000000,15000000,30000000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1050000.0,0.0
Oracle AMQ,oracle,6.0,30,30000000,31500000,1500000,15000000,15000000,1077867,0.03592889999999999,0.036100499999999994,0.033586649999999996,0.0390958,0.035892466666666664,0.03601,0.033430499999999995,0.03909935,,0.0,85928.9,0.9181629523809526
