method,bits_per_key,incoming_attempts_per_second,backend_invocations_per_second,worker_utilization,p50_wait_ms,p95_wait_ms,p99_wait_ms,fraction_wait_gt_1s,valid_drop_rate_for_rate_limit_baselines,raw_invalid_forward_rate
Global Bloom,16.0,25.0,2.0105486856816195,0.030678459757644414,0.0,0.0,0.0,2.5773545815946328e-28,0.0,0.0004586385078964976
TRAPS learned,16.0,25.0,2.007156122329628,0.030626693481597213,0.0,0.0,0.0,2.5686255581507504e-28,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,25.0,2.003578061164814,0.03057209674079861,0.0,0.0,0.0,2.5594512816432587e-28,0.0,0.0001555678767310421
Peppered tag,16.0,25.0,2.0003509521484375,0.030522855091094973,0.0,0.0,0.0,2.5512049663710543e-28,0.0,1.5258789062499998e-05
Adaptive tag,16.0,25.0,2.0002380824096826,0.030521132839968747,0.0,0.0,0.0,2.5509170287830103e-28,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,25.0,1.9999228332519534,0.030516322531883248,0.0,0.0,0.0,2.550112981082587e-28,0.0001,5.340576171874997e-06
Global Bloom,16.0,50.0,4.021097371363239,0.06135691951528883,0.0,0.0,0.0,1.924617236165083e-27,0.0,0.0004586385078964976
TRAPS learned,16.0,50.0,4.014312244659256,0.06125338696319443,0.0,0.0,0.0,1.911602667041583e-27,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,50.0,4.007156122329628,0.06114419348159722,0.0,0.0,0.0,1.8979718346322947e-27,0.0,0.0001555678767310421
Peppered tag,16.0,50.0,4.000701904296875,0.06104571018218995,0.0,0.0,0.0,1.885761357519895e-27,0.0,1.5258789062499998e-05
Adaptive tag,16.0,50.0,4.000476164819365,0.061042265679937494,0.0,0.0,0.0,1.885335714780338e-27,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,50.0,3.999845666503907,0.061032645063766496,0.0,0.0,0.0,1.8841473884463356e-27,0.0001,5.340576171874997e-06
Global Bloom,16.0,75.0,6.031646057044858,0.09203537927293323,0.0,0.0,0.0,1.4371912705359813e-26,0.0,0.0004586385078964976
TRAPS learned,16.0,75.0,6.021468366988883,0.09188008044479162,0.0,0.0,0.0,1.42263816734397e-26,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,75.0,6.010734183494442,0.09171629022239583,0.0,0.0,0.0,1.407448975838564e-26,0.0,0.0001555678767310421
Peppered tag,16.0,75.0,6.0010528564453125,0.09156856527328491,0.0,0.0,0.0,1.3938887484111575e-26,0.0,1.5258789062499998e-05
Adaptive tag,16.0,75.0,6.000714247229047,0.09156339851990623,0.0,0.0,0.0,1.3934168447344743e-26,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,75.0,5.99976849975586,0.09154896759564973,0.0,0.0,0.0,1.3920996472407478e-26,0.0001,5.340576171874997e-06
Global Bloom,16.0,100.0,8.042194742726478,0.12271383903057766,0.0,0.0,0.0,1.0732101476034269e-25,0.0,0.0004586385078964976
TRAPS learned,16.0,100.0,8.028624489318512,0.12250677392638885,0.0,0.0,0.0,1.0587447852413907e-25,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,100.0,8.014312244659257,0.12228838696319444,0.0,0.0,0.0,1.0436996921889501e-25,0.0,0.0001555678767310421
Peppered tag,16.0,100.0,8.00140380859375,0.1220914203643799,0.0,0.0,0.0,1.0303137431464335e-25,0.0,1.5258789062499998e-05
Adaptive tag,16.0,100.0,8.00095232963873,0.12208453135987499,0.0,0.0,0.0,1.0298486831646304e-25,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,100.0,7.999691333007814,0.12206529012753299,0.0,0.0,0.0,1.0285508658883907e-25,0.0001,5.340576171874997e-06
Global Bloom,16.0,125.0,10.052743428408096,0.15339229878822205,0.0,0.0,0.0,8.014103929878591e-25,0.0,0.0004586385078964976
TRAPS learned,16.0,125.0,10.03578061164814,0.15313346740798606,0.0,0.0,0.0,7.879308639445589e-25,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,125.0,10.017890305824071,0.15286048370399305,0.0,0.0,0.0,7.73959884994258e-25,0.0,0.0001555678767310421
Peppered tag,16.0,125.0,10.001754760742188,0.15261427545547487,0.0,0.0,0.0,7.615718331369219e-25,0.0,1.5258789062499998e-05
Adaptive tag,16.0,125.0,10.001190412048413,0.15260566419984373,0.0,0.0,0.0,7.611421623211636e-25,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,125.0,9.999614166259766,0.15258161265941622,0.0,0.0,0.0,7.599433602448115e-25,0.0001,5.340576171874997e-06
Global Bloom,16.0,150.0,12.063292114089716,0.18407075854586646,0.0,0.0,0.0,5.9844627766815664e-24,0.0,0.0004586385078964976
TRAPS learned,16.0,150.0,12.042936733977767,0.18376016088958325,0.0,0.0,0.0,5.863878198133225e-24,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,150.0,12.021468366988884,0.18343258044479166,0.0,0.0,0.0,5.739331994282937e-24,0.0,0.0001555678767310421
Peppered tag,16.0,150.0,12.002105712890625,0.18313713054656983,0.0,0.0,0.0,5.629272256976002e-24,0.0,1.5258789062499998e-05
Adaptive tag,16.0,150.0,12.001428494458095,0.18312679703981247,0.0,0.0,0.0,5.625461300612453e-24,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,150.0,11.99953699951172,0.18309793519129947,0.0,0.0,0.0,5.614830825905329e-24,0.0001,5.340576171874997e-06
Global Bloom,16.0,175.0,14.073840799771336,0.21474921830351087,0.0,0.0,0.0,4.4688458047023724e-23,0.0,0.0004586385078964976
TRAPS learned,16.0,175.0,14.050092856307396,0.2143868543711805,0.0,0.0,0.0,4.363970126820841e-23,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,175.0,14.025046428153699,0.21400467718559027,0.0,0.0,0.0,4.256025716480659e-23,0.0,0.0001555678767310421
Peppered tag,16.0,175.0,14.002456665039062,0.2136599856376648,0.0,0.0,0.0,4.160960892242245e-23,0.0,1.5258789062499998e-05
Adaptive tag,16.0,175.0,14.001666576867779,0.21364792987978123,0.0,0.0,0.0,4.1576746646358315e-23,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,175.0,13.999459832763673,0.2136142577231827,0.0,0.0,0.0,4.1485098564952146e-23,0.0001,5.340576171874997e-06
Global Bloom,16.0,200.0,16.084389485452956,0.2454276780611553,0.0,0.0,0.0,3.337071943035818e-22,0.0,0.0004586385078964976
TRAPS learned,16.0,200.0,16.057248978637023,0.2450135478527777,0.0,0.0,0.0,3.2477201306547375e-22,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,200.0,16.028624489318513,0.24457677392638888,0.0,0.0,0.0,3.156073723804125e-22,0.0,0.0001555678767310421
Peppered tag,16.0,200.0,16.0028076171875,0.2441828407287598,0.0,0.0,0.0,3.075636557694245e-22,0.0,1.5258789062499998e-05
Adaptive tag,16.0,200.0,16.00190465927746,0.24416906271974997,0.0,0.0,0.0,3.072860640792728e-22,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,200.0,15.999382666015627,0.24413058025506598,0.0,0.0,0.0,3.0651206711402353e-22,0.0001,5.340576171874997e-06
Global Bloom,16.0,225.0,18.094938171134572,0.27610613781879967,0.0,0.0,0.0,2.4919296032274613e-21,0.0,0.0004586385078964976
TRAPS learned,16.0,225.0,18.064405100966653,0.2756402413343749,0.0,0.0,0.0,2.416993182935491e-21,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,225.0,18.032202550483326,0.27514887066718746,0.0,0.0,0.0,2.3403997094085775e-21,0.0,0.0001555678767310421
Peppered tag,16.0,225.0,18.003158569335938,0.27470569581985477,0.0,0.0,0.0,2.2734028220889563e-21,0.0,1.5258789062499998e-05
Adaptive tag,16.0,225.0,18.002142741687145,0.27469019555971874,0.0,0.0,0.0,2.2710946092171504e-21,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,225.0,17.99930549926758,0.27464690278694925,0.0,0.0,0.0,2.2646600957068267e-21,0.0001,5.340576171874997e-06
Global Bloom,16.0,250.0,20.105486856816192,0.3067845975764441,0.0,0.0,0.0,1.860826872612248e-20,0.0,0.0004586385078964976
TRAPS learned,16.0,250.0,20.07156122329628,0.3062669348159721,0.0,0.0,0.0,1.7987559923086353e-20,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,250.0,20.035780611648143,0.3057209674079861,0.0,0.0,0.0,1.7355332223347454e-20,0.0,0.0001555678767310421
Peppered tag,16.0,250.0,20.003509521484375,0.30522855091094975,0.0,0.0,0.0,1.6804197422327e-20,0.0,1.5258789062499998e-05
Adaptive tag,16.0,250.0,20.002380824096825,0.30521132839968745,0.0,0.0,0.0,1.6785241268489647e-20,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,250.0,19.999228332519532,0.30516322531883244,0.0,0.0,0.0,1.6732409256758564e-20,0.0001,5.340576171874997e-06
Global Bloom,16.0,275.0,22.116035542497812,0.3374630573340885,0.0,0.0,0.0,1.389556368426756e-19,0.0,0.0004586385078964976
TRAPS learned,16.0,275.0,22.078717345625908,0.33689362829756936,0.0,0.0,0.0,1.3386562869559318e-19,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,275.0,22.039358672812956,0.3362930641487847,0.0,0.0,0.0,1.2869919414700147e-19,0.0,0.0001555678767310421
Peppered tag,16.0,275.0,22.003860473632812,0.33575140600204467,0.0,0.0,0.0,1.242107418293211e-19,0.0,1.5258789062499998e-05
Adaptive tag,16.0,275.0,22.00261890650651,0.3357324612396562,0.0,0.0,0.0,1.2405662155066613e-19,0.0,1.0351409116635597e-05
