kind,denominator,upper_95,retained_tokens,memory_mib
zero_event_upper,1000.0,0.0029912495450953314,,
zero_event_upper,1123.6548001387505,0.002662510245290961,,
zero_event_upper,1262.6001098748563,0.002369856551217908,,
zero_event_upper,1418.726674116596,0.002109336289249031,,
zero_event_upper,1594.1590374559996,0.0018774282780033014,,
zero_event_upper,1791.284454622004,0.0016709957149954047,,
zero_event_upper,2012.7853758499384,0.001487244523764586,,
zero_event_upper,2261.6759492228643,0.0013236861506260578,,
zero_event_upper,2541.3430367026367,0.0011781043491615462,,
zero_event_upper,2855.592301990106,0.0010485255356549317,,
zero_event_upper,3208.69999737045,0.00093319233998157,,
zero_event_upper,3605.4711542505024,0.0008305400141631614,,
zero_event_upper,4051.304969235382,0.0007391753951010438,,
zero_event_upper,4552.26827550731,0.0006578581491223368,,
zero_event_upper,5115.178099293145,0.0005854840541384965,,
zero_event_upper,5747.694424835353,0.0005210701006571616,,
zero_event_upper,6458.424430196978,0.00046374121582770655,,
zero_event_upper,7257.039612324216,0.0004127184353475144,,
zero_event_upper,8154.4073951851615,0.00036730836662290933,,
zero_event_upper,9162.739011886732,0.00032689380324257833,,
zero_event_upper,10295.755673125128,0.0002909253657783495,,
zero_event_upper,11568.875283162834,0.000258914057322146,,
zero_event_upper,12999.42224413245,0.0002304246341712224,,
zero_event_upper,14606.86320364989,0.0002050697028053161,,
zero_event_upper,16413.0719537513,0.0001825044639067741,,
zero_event_upper,18442.62708585533,0.0001624220327484105,,
zero_event_upper,20723.146452190296,0.00014454927294882403,,
zero_event_upper,23285.662984981966,0.00012864308743243402,,
zero_event_upper,26165.046987488236,0.00011448711654671317,,
zero_event_upper,29400.480643347077,0.00010188879874173384,,
zero_event_upper,33035.991201283396,9.067675407736786e-05,,
zero_event_upper,37121.05009066357,8.069845516567309e-05,,
zero_event_upper,41711.24612056516,7.181815402079739e-05,,
zero_event_upper,46869.04192314192,6.391503673741639e-05,,
zero_event_upper,52664.623934842806,5.6881580991818836e-05,,
zero_event_upper,59176.85748188818,5.062209409667506e-05,,
zero_event_upper,66494.35996665046,4.5051411782348616e-05,,
zero_event_upper,74716.70675868083,4.009374004898536e-05,,
zero_event_upper,83955.78619995104,3.568162437073141e-05,,
zero_event_upper,94337.32216299773,3.1755032259050964e-05,,
zero_event_upper,106002.58488068824,2.826053672388973e-05,,
zero_event_upper,119110.31332830079,2.515058954566385e-05,,
zero_event_upper,133838.87531737564,2.2382874480753046e-05,,
zero_event_upper,150388.69469554102,1.9919731615636316e-05,,
zero_event_upper,168984.97868124553,1.7727645044041118e-05,,
zero_event_upper,189880.78244652614,1.5776786904786455e-05,,
zero_event_upper,213360.4526501411,1.4040611581611628e-05,,
zero_event_upper,239743.49678010785,1.2495494547959396e-05,,
zero_event_upper,269388.93095901754,1.1120410946308112e-05,,
zero_event_upper,302700.16537634615,9.896649530882762e-06,,
zero_event_upper,340130.4938279253,8.807558085410783e-06,,
zero_event_upper,382189.2620633115,7.83831685013947e-06,,
zero_event_upper,429448.79887892725,6.9757368809098e-06,,
zero_event_upper,482552.2042741279,6.208080593483878e-06,,
zero_event_upper,542222.1006501592,5.524902054743208e-06,,
zero_event_upper,609270.4661368674,4.916904847940273e-06,,
zero_event_upper,684609.6838574657,4.375815577550846e-06,,
zero_event_upper,769264.9574879131,3.894271292770313e-06,,
zero_event_upper,864388.2620598262,3.465719299877712e-06,,
zero_event_upper,971274.0198471168,3.0843279985592886e-06,,
zero_event_upper,1091376.7146512738,2.7449075299390557e-06,,
zero_event_upper,1226330.6841775645,2.44283915684651e-06,,
zero_event_upper,1377972.3598335567,2.174012414535298e-06,,
zero_event_upper,1548365.256585499,1.9347691785354115e-06,,
zero_event_upper,1739828.0529303623,1.7218538863605914e-06,,
zero_event_upper,1954966.1430912595,1.5323692376112419e-06,,
zero_event_upper,2196707.090793235,1.3637367691776703e-06,,
zero_event_upper,2468340.467068651,1.2136617681957063e-06,,
zero_event_upper,2773562.614198418,1.0801020464690225e-06,,
zero_event_upper,3116526.9449294303,9.612401518088731e-07,,
zero_event_upper,3501900.461431706,8.55458636039863e-07,,
zero_event_upper,3934927.2630958455,7.613180454946189e-07,,
zero_event_upper,4421499.907374486,6.775373337930546e-07,,
zero_event_upper,4968239.5947343875,6.02976429231461e-07,,
zero_event_upper,5582586.2688627,5.366207211920937e-07,,
zero_event_upper,6272899.858196244,4.775672537427056e-07,,
zero_event_upper,7048574.036451903,4.250124381321996e-07,,
zero_event_upper,7920164.0501925405,3.7824111820405903e-07,,
zero_event_upper,8899530.352885224,3.3661683829233624e-07,,
zero_event_upper,10000000.0,2.995731824828596e-07,,
cache_128,,,100.0,0.00152587890625
cache_128,,,115.68875283162821,0.0017652702763615144
cache_128,,,133.83887531737562,0.0020422191668300724
cache_128,,,154.8365256585499,0.002362617884194182
cache_128,,,179.1284454622004,0.0027332831644012513
cache_128,,,207.23146452190295,0.0031621012042526695
cache_128,,,239.74349678010785,0.0036581954464738136
cache_128,,,277.35626141984153,0.004232120688168969
cache_128,,,320.869999737045,0.0048960876424720004
cache_128,,,371.21050090663607,0.005664222731119325
cache_128,,,429.4487988789272,0.006552868635237537
cache_128,,,496.8239594734388,0.007580931998801251
cache_128,,,574.7694424835353,0.00877028568242699
cache_128,,,664.9435996665046,0.01014623412577064
cache_128,,,769.2649574879146,0.011738051719481118
cache_128,,,889.9530352885233,0.013579605640999196
cache_128,,,1029.5755673125127,0.0157100764055254
cache_128,,,1191.1031332830069,0.018174791462448225
cache_128,,,1377.9723598335568,0.02102618957265559
cache_128,,,1594.1590374559996,0.024324936484619135
cache_128,,,1844.2627085855347,0.028141215646141582
cache_128,,,2133.604526501411,0.03255622141268022
cache_128,,,2468.340467068651,0.03766388652143327
cache_128,,,2855.5923019901093,0.043572880584565876
cache_128,,,3303.5991201283396,0.05040892212109893
cache_128,,,3821.892620633119,0.058317453317766096
cache_128,,,4421.499907374487,0.06746673442649058
cache_128,,,5115.178099293145,0.07805142363423379
cache_128,,,5917.685748188825,0.09029671856977577
cache_128,,,6846.096838574657,0.10446314756125881
cache_128,,,7920.164050192557,0.12085211258228389
cache_128,,,9162.73901188674,0.13981230181711946
cache_128,,,10600.258488068825,0.16174710827741737
cache_128,,,12263.306841775644,0.18712321230736761
cache_128,,,14187.266741165962,0.2164805105768732
cache_128,,,16413.0719537513,0.25044360280992584
cache_128,,,18988.078244652614,0.2897350806373995
cache_128,,,21967.070907932353,0.33519090130512014
cache_128,,,25413.43036702639,0.38777817332498765
cache_128,,,29400.48064334714,0.4486157324729483
cache_128,,,34013.04938279253,0.518997945904427
cache_128,,,39349.272630958454,0.6004222508385995
cache_128,,,45522.682755073096,0.6946210137187667
cache_128,,,52664.623934842806,0.8035983876776551
cache_128,,,60927.04661368687,0.9296729524793529
cache_128,,,70485.74036451904,1.0755270441363378
cache_128,,,81544.07395185171,1.244263823728206
cache_128,,,94337.32216299773,1.4394732996062887
cache_128,,,109137.67146512738,1.665308707658804
cache_128,,,126260.01098748577,1.9265748746869777
