method,N,bits_per_key,memory_mib,build_probe_millions
Global Bloom,10000.0,16.0,0.019073486328125,0.11
Risk partition,10000.0,16.0,0.019073486328125,0.12426265604617004
TRAPS learned,10000.0,16.0,0.019073486328125,0.1292393917603798
Keyed tag,10000.0,16.0,0.019073486328125,0.01
Adaptive tag,10000.0,16.0,0.019073486328125,0.01
Global Bloom,100000.0,16.0,0.19073486328125,1.1
Risk partition,100000.0,16.0,0.19073486328125,1.2426265604617004
TRAPS learned,100000.0,16.0,0.19073486328125,1.292393917603798
Keyed tag,100000.0,16.0,0.19073486328125,0.1
Adaptive tag,100000.0,16.0,0.19073486328125,0.1
Global Bloom,1000000.0,16.0,1.9073486328125,11.0
Risk partition,1000000.0,16.0,1.9073486328125,12.426265604617004
TRAPS learned,1000000.0,16.0,1.9073486328125,12.92393917603798
Keyed tag,1000000.0,16.0,1.9073486328125,1.0
Adaptive tag,1000000.0,16.0,1.9073486328125,1.0
