seed,bits_per_key,target_skew,risk_drift,replay_fraction,occupancy_injection,epoch_id,method,adaptation_mode,monitor_window_events,test_window_events,total_bits,region_bits_json,region_key_counts_json,region_query_counts_json,region_negative_counts_json,region_backend_invalid_counts_json,raw_invalid,unique_invalid,repeated_invalid,raw_invalid_forwarded,first_seen_invalid_forwarded,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_attempts,valid_rejects,cap_violations,replay_hits,backend_calls,frontend_probes,rebuild_regions,rebuild_keys,rebuild_bytes,dual_query_fraction,drift_metric,fallback_triggered,uses_future_labels
0,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[9.96635683,10.06859759,10.87475512,10.79288267,10.97851774,11.58707277,12.38778456,12.95486084,12.21494675,12.51050138,14.38502425,14.64721202,13.10998221,14.35847013,14.53423954,14.81253476]","[18389,19358,14968,15102,14803,18812,14509,11467,10465,12781,8117,8066,11929,9766,6611,4857]","[5133,5712,6593,6457,6888,11685,12973,13674,8734,12243,18862,21915,15266,22990,16866,14009]","[13018,14394,16394,15903,17042,29013,32875,34121,21822,30719,48015,54115,38240,57035,42015,35279]","[108,114,88,89,87,111,86,68,62,75,48,48,70,58,39,29]",1000000,500000,500000,1179,1179,0.001179,0.002358,50000,0,0,500000,51179,9587665.582497964,0,0,0,0.0,1.155330990242927e-05,false,false
0,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[9.93729136,10.05273172,10.88636068,10.82418012,11.00046497,11.60173213,12.36039975,12.95925685,12.21669286,12.50354517,14.34833784,14.67321771,13.10649745,14.37486487,14.54210547,14.79804825]","[18389,19358,14968,15102,14803,18812,14509,11467,10465,12781,8117,8066,11929,9766,6611,4857]","[5133,5712,6593,6457,6888,11685,12973,13674,8734,12243,18862,21915,15266,22990,16866,14009]","[13018,14394,16394,15903,17042,29013,32875,34121,21822,30719,48015,54115,38240,57035,42015,35279]","[110,115,88,88,86,110,87,67,62,76,49,47,70,57,39,29]",1000000,500000,500000,1179,1179,0.001179,0.002358,50000,0,0,500000,51179,9621062.666647768,16,200000,300000.0,0.1,1.155330990242927e-05,false,false
0,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[9.93729136,10.05273172,10.88636068,10.82418012,11.00046497,11.60173213,12.36039975,12.95925685,12.21669286,12.50354517,14.34833784,14.67321771,13.10649745,14.37486487,14.54210547,14.79804825]","[18389,19358,14968,15102,14803,18812,14509,11467,10465,12781,8117,8066,11929,9766,6611,4857]","[5133,5712,6593,6457,6888,11685,12973,13674,8734,12243,18862,21915,15266,22990,16866,14009]","[13018,14394,16394,15903,17042,29013,32875,34121,21822,30719,48015,54115,38240,57035,42015,35279]","[110,115,88,88,86,110,87,67,62,76,49,47,70,57,39,29]",1000000,500000,500000,1179,1179,0.001179,0.002358,50000,0,0,500000,51179,9621062.666647768,16,200000,300000.0,0.1,1.155330990242927e-05,false,false
1,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[9.70808307,10.52437502,10.38828906,10.61193799,12.23773309,12.7136407,12.52109713,12.32035673,12.67351033,12.75981127,13.48258835,12.13989507,13.42091497,13.96667649,14.03654623,16.10451145]","[17505,16999,18154,19338,12845,14248,12450,11933,14003,12570,9935,10891,9371,7571,7585,4601]","[4554,6502,6521,7776,11145,15569,12475,10697,15049,14231,15666,9120,14358,15242,15592,25503]","[11301,16245,16251,19275,27961,38983,31052,27028,37580,35161,39329,22618,36014,37821,39186,64196]","[107,103,110,118,78,87,76,73,85,76,60,66,57,46,46,28]",1000000,500000,500000,1217,1217,0.001217,0.002434,50000,0,0,500000,51217,9510214.30974311,0,0,0,0.0,4.889037276414377e-06,false,false
1,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[9.71932758,10.52163435,10.39080752,10.62554314,12.22650405,12.70648711,12.52608593,12.29450632,12.6718872,12.78010497,13.47001424,12.15241094,13.41009431,13.97812934,14.02173533,16.08642248]","[17505,16999,18154,19338,12845,14248,12450,11933,14003,12570,9935,10891,9371,7571,7585,4601]","[4554,6502,6521,7776,11145,15569,12475,10697,15049,14231,15666,9120,14358,15242,15592,25503]","[11301,16245,16251,19275,27961,38983,31052,27028,37580,35161,39329,22618,36014,37821,39186,64196]","[106,104,110,117,79,87,76,74,85,76,61,66,57,46,46,28]",1000000,500000,500000,1217,1217,0.001217,0.002434,50000,0,0,500000,51217,9510214.30974311,16,200000,300000.0,0.1,4.889037276414377e-06,false,false
1,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[9.71932758,10.52163435,10.39080752,10.62554314,12.22650405,12.70648711,12.52608593,12.29450632,12.6718872,12.78010497,13.47001424,12.15241094,13.41009431,13.97812934,14.02173533,16.08642248]","[17505,16999,18154,19338,12845,14248,12450,11933,14003,12570,9935,10891,9371,7571,7585,4601]","[4554,6502,6521,7776,11145,15569,12475,10697,15049,14231,15666,9120,14358,15242,15592,25503]","[11301,16245,16251,19275,27961,38983,31052,27028,37580,35161,39329,22618,36014,37821,39186,64196]","[106,104,110,117,79,87,76,74,85,76,61,66,57,46,46,28]",1000000,500000,500000,1217,1217,0.001217,0.002434,50000,0,0,500000,51217,9510214.30974311,16,200000,300000.0,0.1,4.889037276414377e-06,false,false
2,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[8.66713379,12.04387018,10.86142438,12.03323145,10.910943,12.66913231,11.73479539,12.34689754,13.13130625,11.78503868,13.684555,13.40955104,13.85099501,13.90435286,13.62589992,14.35607392]","[21815,16588,17220,15974,17163,10968,14135,11880,11961,10943,11285,9106,8877,9007,7374,5703]","[3521,13574,7968,12871,8119,11986,9871,11280,16379,7879,20254,14104,17311,17910,12886,14087]","[8765,33756,19854,32342,20266,30139,24795,27965,41043,19664,50513,35715,43041,44809,32087,35248]","[136,104,108,100,107,68,88,74,75,68,70,57,55,56,46,36]",1000000,500000,500000,1249,1249,0.001249,0.002498,50000,0,0,500000,51249,9336865.686165394,0,0,0,0.0,3.4301660366674465e-06,false,false
2,12.0,0.4,0.0,0.5,0.0,1,TRAPS-dynamic-next-epoch,observed-next-epoch-allocation,200000,1050000,2400000,"[8.67477508,12.05352769,10.866983,12.02150776,10.91293041,12.65595258,11.72378469,12.36291879,13.12526826,11.78726342,13.68826021,13.38190824,13.86105807,13.90156501,13.63283805,14.35305953]","[21815,16588,17220,15974,17163,10968,14135,11880,11961,10943,11285,9106,8877,9007,7374,5703]","[3521,13574,7968,12871,8119,11986,9871,11280,16379,7879,20254,14104,17311,17910,12886,14087]","[8765,33756,19854,32342,20266,30139,24795,27965,41043,19664,50513,35715,43041,44809,32087,35248]","[136,103,107,100,107,69,89,74,75,68,70,58,55,56,46,36]",1000000,500000,500000,1249,1249,0.001249,0.002498,50000,0,0,500000,51249,9336865.686165394,16,200000,300000.0,0.1,3.4301660366674465e-06,false,false
2,12.0,0.4,0.0,0.5,0.0,1,TRAPS-drift-guard,global-fallback-if-outside-validation-envelope,200000,1050000,2400000,"[8.67477508,12.05352769,10.866983,12.02150776,10.91293041,12.65595258,11.72378469,12.36291879,13.12526826,11.78726342,13.68826021,13.38190824,13.86105807,13.90156501,13.63283805,14.35305953]","[21815,16588,17220,15974,17163,10968,14135,11880,11961,10943,11285,9106,8877,9007,7374,5703]","[3521,13574,7968,12871,8119,11986,9871,11280,16379,7879,20254,14104,17311,17910,12886,14087]","[8765,33756,19854,32342,20266,30139,24795,27965,41043,19664,50513,35715,43041,44809,32087,35248]","[136,103,107,100,107,69,89,74,75,68,70,58,55,56,46,36]",1000000,500000,500000,1249,1249,0.001249,0.002498,50000,0,0,500000,51249,9336865.686165394,16,200000,300000.0,0.1,3.4301660366674465e-06,false,false
3,12.0,0.4,0.0,0.5,0.0,1,TRAPS-frozen,frozen-validation-allocation,200000,1050000,2400000,"[9.28058047,11.54137583,11.42039137,10.07273222,11.63882659,11.85381885,12.6357628,12.09691581,12.61592274,13.10896261,13.56735654,13.72993598,12.85307824,13.94601323,13.54317854,14.47674317]","[19671,15423,15188,17634,13850,16346,13136,14753,13571,10631,11442,9546,9142,6503,7160,6002]","[4438,10089,9250,5685,9525,12528,14469,12748,14753,15032,20048,17839,11311,13499,12529,16257]","[10913,25354,23557,14314,23858,31223,36532,31671,37384,37113,49785,44912,28221,33940,30796,40427]","[126,99,98,113,89,105,84,95,87,68,73,61,59,42,46,39]",1000000,500000,500000,1284,1284,0.001284,0.002568,50000,0,0,500000,51284,9286718.531193355,0,0,0,0.0,1.126379240846189e-05,false,false
